WKT;ID;NOMBRE;DIA;NUMERO_DE;UBICACION;BARRIO;COMUNA;CALLE;CALLE2;DIRECCION_;OBSERVACION
POINT (-58.445586272288409 -34.605528892757896);1;FIAB 5;MARTES;5;ANTEZANA Y VIRASORO VALENTIN;Villa Crespo;COMUNA 15;ANTEZANA;VIRASORO;ANTEZANA y VIRASORO, VALENTIN;PLAZA GRAL. BENITO NAZAR
POINT (-58.450966289422176 -34.590356412814316);2;FIAB 11;VIERNES;11;GUZMAN ENTRE CONCEPCION ARENAL Y AV. JORGE NEWBERY;Chacarita;COMUNA 15;GUZMAN;CONCEPCION ARENAL;GUZMAN y ARENAL, CONCEPCION;
POINT (-58.493412947980701 -34.605197687505303);3;FIAB 2;MARTES;2;BAIGORRIA ENTRE CUENCA Y CAMPANA;Villa Del Parque;COMUNA 11;CAMPANA;BAIGORRIA;CAMPANA y BAIGORRIA;PLAZA ARISTOBULO DEL VALLE
POINT (-58.48745637445365 -34.597851929678946);4;FIAB 6;MARTES;6;NAZARRE Y ESTADO PLURINACIONAL DE BOLIVIA;Agronomia;COMUNA 15;SAN MARTIN AV.;CONDARCO;SAN MARTIN AV. y CONDARCO;PLAZOLETA DANTE LINYERA
POINT (-58.419018382471243 -34.605280828608414);5;FIAB 12;SABADO;12;SARMIENTO ENTRE BULNES Y JERONIMO SALGUERO;Almagro;COMUNA 5;SARMIENTO;BULNES;SARMIENTO y BULNES;PLAZA ALMAGRO
POINT (-58.456847591507817 -34.614317267878086);6;FIAB 5;MIERCOLES;5;ALTE. F. J.SEGUI ENTRE AV. GAONA Y NEUQUEN;Caballito;COMUNA 6;SEGUI, F. J., ALTE.;GAONA AV.;SEGUI, F. J., ALTE. y GAONA AV.;PLAZA IRLANDA
POINT (-58.438754191848567 -34.616644860679969);7;FIAB 5;SABADO;5;BACACAY ENTRE HIDALGO Y PARRAL;Caballito;COMUNA 6;HIDALGO;BACACAY;HIDALGO y BACACAY;
POINT (-58.458848588935894 -34.614772972138354);8;FIAB 5;DOMINGO;5;ALVAREZ, DONATO, TTE. GRAL. ENTRE AV. GAONA Y NEUQUEN;Caballito;COMUNA 6;DONATO ALVAREZ;Neuquen;ALVAREZ, DONATO, TTE. GRAL. y NEUQUEN;PLAZA IRLANDA
POINT (-58.443332538533184 -34.612421622419483);9;FIAB 10;JUEVES;10;COLPAYO Y FELIPE VALLESE;Caballito;COMUNA 6;COLPAYO;VALLESE, FELIPE;COLPAYO y VALLESE, FELIPE;PLAZA DR. AMADEO SABATTINI
POINT (-58.435500693219787 -34.60455512914335);10;FIAB 12;MARTES;12;AV. PATRICIAS ARGENTINAS Y CNEL. JUAN A. DE BALDRICH;Caballito;COMUNA 6;CANGALLO;RAMOS MEJIA;CANGALLO y RAMOS MEJIA;PARQUE CENTENARIO
POINT (-58.435513586315466 -34.604658462109363);11;FIAB 12;DOMINGO;12;AV. PATRICIAS ARGENTINAS Y CNEL. JUAN A. DE BALDRICH;Caballito;COMUNA 6;CANGALLO;RAMOS MEJIA;CANGALLO y RAMOS MEJIA;PARQUE CENTENARIO
POINT (-58.46457250483175 -34.63886960951546);12;FIAB 4;MARTES;4;LAFUENTE Y FRANCISCO  BILBAO;Flores;COMUNA 7;LAFUENTE;BILBAO, FRANCISCO;LAFUENTE y BILBAO, FRANCISCO;
POINT (-58.457289255598646 -34.622328414956911);13;FIAB 5;VIERNES;5;CALCENA ENTRE BOGOTA Y AV. AVELLANEDA;Flores;COMUNA 7;CALCENA;BOGOTA;CALCENA y BOGOTA;PLAZA ANGEL GRIS
POINT (-58.49128001010024 -34.620894314899758);14;FIAB 1;JUEVES;1;CHIVILCOY Y MAGARINIOS CERVANTES, A.;Floresta;COMUNA 10;CHIVILCOY;MAGARINIOS CERVANTES, A.;CHIVILCOY y MAGARINIOS CERVANTES, A.;PLAZA CIUDAD DE UDINE
POINT (-58.482177456630374 -34.629649380611632);15;FIAB 7;MIERCOLES;7;BAHIA BLANCA ENTRE AV. AVELLANEDA Y BOGOTA;Floresta;COMUNA 10;AVELLANEDA AV.;BAHIA BLANCA;AVELLANEDA AV. y BAHIA BLANCA;PLAZA VELEZ SARSFIELD
