WKT;ID;OBJETO;TIPO;NOMBRE;DIAS;OBSERVACIO;DIRECCION;CALLE;CRUCE;DIREC_NORM;DIREC_ARCG;BARRIO;COMUNA
POINT (-58.447900087896059 -34.591758817220331);14;Feria;Manualidades y Antigüedades;Parque Los Andes;Sábado, Domingos y Feriados;;Corrientes y Dorrego;CORRIENTES AV.;DORREGO AV.;CORRIENTES AV. y DORREGO AV.;CORRIENTES AV. & DORREGO AV.;CHACARITA;15
POINT (-58.450172003651311 -34.589652682620887);23;Feria;Antigüedades;Mercado de las Pulgas;Martes a Domingo;;Dorrego y Concepción Arenal;CORRIENTES AV.;ARENAL, CONCEPCION;CORRIENTES AV. y ARENAL, CONCEPCION;CORRIENTES AV. & ARENAL, CONCEPCION;CHACARITA;15
POINT (-58.436079553500335 -34.604590108765215);6;Feria;Manualidades y Antigüedades;Paseo Centenario;Sábado, Domingos y Feriados;;Patricias Argentina y Machado;PATRICIAS ARGENTINAS AV.;MACHADO, ANTONIO;PATRICIAS ARGENTINAS AV. y MACHADO, ANTONIO;PATRICIAS ARGENTINAS AV. & MACHADO, ANTONIO;CABALLITO;6
POINT (-58.44169232444748 -34.620821789678871);19;Feria;Libros Usados;Plazoleta 1º Junta;Martes a Domingo;;Rivadavia y Del Barco Centenera;RIVADAVIA AV.;BARCO CENTENERA del;RIVADAVIA AV. y BARCO CENTENERA del;RIVADAVIA AV. & BARCO CENTENERA del;CABALLITO;6
POINT (-58.436778323590396 -34.608277067729134);26;Feria;Artesanías;Feria Parque Centenario;Sábado, Domingos y Feriados;;Av. Diaz Velez y Campichuelo;DIAZ VELEZ AV.;CAMPICHUELO;DIAZ VELEZ AV. y CAMPICHUELO;DIAZ VELEZ AV. & CAMPICHUELO;CABALLITO;6
POINT (-58.437803535040182 -34.607247143200645);18;Feria;Libros Usados;Parque Centenario;Martes a Domingo;;Pasaje Lillo y Leopoldo Marechal;LILLO AV.;MARECHAL, LEOPOLDO;LILLO AV. y MARECHAL, LEOPOLDO;LILLO AV. & MARECHAL, LEOPOLDO;CABALLITO;6
POINT (-58.434355278665784 -34.618867020741824);22;Feria;Libros Usados, Antigüedades, Filatelia y Numismática;Parque Rivadavia;Martes a Domingo;;Rivadavia y Beauchef;ROSARIO;BEAUCHEF;ROSARIO y BEAUCHEF;ROSARIO & BEAUCHEF;CABALLITO;6
POINT (-58.406639897661925 -34.637520942685839);11;Feria;Manualidades y Antigüedades;Paseo Parque Patricios;Sábado, Domingos y Feriados;;A. Caseros y Almafuerte;CASEROS AV.;ALMAFUERTE AV.;CASEROS AV. y ALMAFUERTE AV.;CASEROS AV. & ALMAFUERTE AV.;PARQUE PATRICIOS;4
POINT (-58.405726519083153 -34.63774711026182);20;Feria;Libros Usados;Parque de los Patricios;Martes a Domingo;;Av. Caseros y Monteagudo;CASEROS AV.;MONTEAGUDO;CASEROS AV. y MONTEAGUDO;CASEROS AV. & MONTEAGUDO;PARQUE PATRICIOS;4
POINT (-58.502773430800708 -34.660123958221099);3;Feria;Manualidades y Antigüedades;Paseo Alberdi;Sábado, Domingos y Feriados;;Lisandro de la Torre y Directorio;DE LA TORRE, LISANDRO AV.;DIRECTORIO AV.;DE LA TORRE, LISANDRO AV. y DIRECTORIO AV.;DE LA TORRE, LISANDRO AV. & DIRECTORIO AV.;MATADEROS;9
POINT (-58.371564716894071 -34.620575296243068);2;Feria;Manualidades y Antigüedades;Paseo Humberto 1º;Sábado, Domingos y Feriados;;Humberto 1º y Defensa;HUMBERTO 1º;DEFENSA;HUMBERTO 1º y DEFENSA;HUMBERTO 1º & DEFENSA;SAN TELMO;1
POINT (-58.368307353946264 -34.626949427060772);7;Feria;Manualidades y Antigüedades;Paseo Lezama;Sábado, Domingos y Feriados;;Av. Martín García y Av. Paseo Colón;GARCIA, MARTIN AV.;PASEO COLON AV.;GARCIA, MARTIN AV. y PASEO COLON AV.;GARCIA, MARTIN AV. & PASEO COLON AV.;SAN TELMO;1
